ID,EI,Ts0,d1,d3,lm,ell,fold
0,0.0013357740852389,1.029012539638707,1.089503767758474e-05,6.456020066051344e-06,-3.959579745646049,-0.6527615107045984,train
1,0.0004167898263607,1.1408459863637042,2.862904627549313e-06,2.6427376076254058e-06,-3.650658327012161,-0.6505280096014077,val
2,0.0005694528238613,1.0725474240068458,5.459397861741916e-06,2.162588622924622e-06,-3.274084320881184,-0.6715452807501947,train
3,0.0004374061901219,1.0698434357350033,1.2582487531585545e-05,7.536491606858779e-06,-3.038501486802176,-0.6668535990288993,train
4,0.0012426895336912,1.1390976234603176,1.7929387906403911e-06,9.669241457144037e-06,-2.6512390161371084,-0.6319616140173636,test
5,0.0003720254204931,1.061264465745938,1.0153377579432971e-05,1.439657006327804e-06,-2.408564269154388,-0.6616218213140335,train
6,0.0015469429671714,1.029049418336351,5.2750391741179e-06,3.783467371571529e-06,-2.357564272593709,-0.6231246931218257,train
7,0.0005572260156184,1.016429219530807,8.974238646985834e-06,1.005448445450439e-05,-3.729583798475305,-0.5956367959278882,train
8,0.0008873383509804,1.0244569027645292,1.015490676060043e-05,7.013683904768066e-06,-3.5362606574509936,-0.5900834906475464,train
9,0.0015515952667526,1.0328243632161742,9.138534496372722e-06,1.1639027268801485e-06,-3.1875171094565813,-0.5186408582505602,train
10,0.0014563587872811,1.0370851014855484,5.795069126591677e-06,5.032693509025693e-06,-3.07832328350452,-0.5120264574601681,train
11,0.0007566975182638,1.078367881182065,2.084191453401507e-06,1.2989161927757384e-06,-2.867497797618056,-0.5341049884634225,train
12,0.0013353269881333,1.1134436537590475,7.941977619914506e-06,1.0315577037549266e-06,-2.5776763505212443,-0.5028762511795238,train
13,0.0008036126415433,1.059031083319745,1.993678384789649e-06,7.82823676368008e-06,-2.177993978649485,-0.5565570352132456,val
14,0.0006765041963627,1.040257365959783,1.022251808079835e-06,9.367392267661728e-06,-3.784042673409922,-0.4034058970111404,val
15,0.0010699310848069,1.1226944758203323,2.226069100766486e-06,4.86041513855733e-06,-3.609047992141472,-0.4389968814664074,train
16,0.0006443427417751,1.0270641566647205,1.1166103037179632e-05,1.1266593287925935e-05,-3.404725678011065,-0.4588205653678129,train
17,0.0008654936008221,1.107109119081765,2.906992471505423e-06,1.1039756491046845e-05,-3.029954512979957,-0.4279769074431108,train
18,0.0016800348306513,1.038302822466948,5.4113592909163904e-06,9.790376937854317e-06,-2.790548325320928,-0.4340250692182335,train
19,0.0013010406893128,1.1385918326056432,3.208591980195685e-06,7.682851592829324e-06,-2.4567753568510646,-0.4089106627729,train
20,0.00110875601997,1.064751796556592,4.325807772466174e-06,2.6832312378411627e-06,-2.14952330987311,-0.4350069379998711,val
21,0.0011665392747418,1.1446800286318295,4.728344893012444e-06,7.818729593469433e-06,-3.921705342491648,-0.3366023686649604,val
22,0.0016218505810126,1.149033446310371,1.0223612723705996e-05,6.502373174665066e-06,-3.612192511837454,-0.3870993787819889,train
23,0.0016471594292332,1.0949365804848843,7.105610617439514e-06,1.0762523161103497e-05,-3.261367256315148,-0.3490224649209387,train
24,0.001586158514415,1.0685362736860813,1.1791557789499496e-05,8.82930377394936e-06,-3.1533151819333622,-0.3947710990985514,train
25,0.0015267838382049,1.1055714796435523,1.1918051475431356e-05,1.1148833211439688e-06,-2.874636732574221,-0.3712849093832522,train
26,0.0016342322590618,1.0281692775244216,6.438611091082576e-06,8.631439259559477e-06,-2.6116614034071435,-0.3062494384324189,train
27,0.001415349393723,1.030275190237038,4.32097974046506e-06,1.1313242751275624e-05,-2.1911842444946794,-0.3949584169980087,val
28,0.0006251512247378,1.0442574102826714,1.1478434982203529e-05,1.1713961069319382e-05,-3.98753931173684,-0.2803166001115423,train
29,0.0011060202978333,1.0799103243139925,4.856074446443154e-06,1.4177188084412026e-06,-3.5383876219751733,-0.2986283459468143,train
30,0.0007009564305272,1.0322115888255643,1.85135158604104e-06,7.067024045301729e-06,-3.4387766886168034,-0.2769406587989793,train
31,0.0014175518282546,1.019966282924758,1.7983627336665398e-06,6.684380337554392e-06,-2.9638204285767067,-0.2781206922993869,train
32,0.0009488729317279,1.0613480631303505,6.446862602017798e-06,9.40979778430517e-06,-2.8137656152242645,-0.2256935279410424,val
33,0.0012394098162362,1.1369290269266208,3.446291402815698e-06,1.00335486571586e-05,-2.439560007149991,-0.2451141978921859,train
34,0.0011753279241646,1.0785608538638294,5.859069706704971e-06,8.183264550400466e-06,-2.2850722511634154,-0.2611607887663726,val
35,0.0003915936481005,1.1417948389734829,6.412692285058999e-06,2.110080395804653e-06,-3.94214772282644,-0.1686324499881357,test
36,0.0008600839007951,1.1468002519305347,6.919696545247232e-06,3.4614732728432114e-06,-3.7272783186451006,-0.1345740259488622,train
37,0.0013177423755689,1.0195452285860644,1.3567938531105538e-05,9.343754697202673e-06,-3.3591887495537245,-0.1879083451393706,train
38,0.0009561213589669,1.038283156772884,1.119086510204792e-06,8.563006706389071e-06,-3.1258202541241773,-0.111333718614433,train
39,0.0008963130783231,1.058111207355649,1.3008435763601687e-05,2.419824796167304e-06,-2.8908684607438646,-0.1519676768593326,train
40,0.0006446668859721,1.0363772307307488,1.1202932312606698e-05,6.785907563759275e-06,-2.636725274344221,-0.1031744901611197,val
41,0.0004763579024296,1.0085352069158042,5.39731434946083e-06,5.894358181814724e-06,-2.3388363498782985,-0.1317752451603522,train
42,0.0016191703771902,1.0701694299656244,7.685055162548915e-06,5.465005871983424e-06,-3.908416381630523,-0.0308537993541521,train
43,0.0010592200399357,1.0046258121714828,9.29550297382706e-06,8.363974606312296e-06,-3.6052705729767234,-0.0789654127426792,train
